订单编号,订单日期,发货日期,快递,客户编号,客户名称,客户类型,地区编号,省份,区域,区域经理,产品编号,产品大类,产品小类,品牌,产品名称,产品属性,是否退货,金额,数量,折扣,利润
A001237,2021-02-03,2021-02-04,顺丰,U16240,潘丽美,公司,R00017,河南,中南,范彩,P00345,办公,系固,Advantus,订书钉,整包,,202.72,4,0.0,46.48
A001238,2018-01-23,2018-01-27,圆通,U14575,潘健,消费者,R00027,山西,华北,殷莲,P01269,家具,书架,宜家,墙角架,传统,,1722.84,3,0.0,619.92
A001238,2018-01-23,2018-01-27,圆通,U14575,潘健,消费者,R00027,山西,华北,殷莲,P01034,办公,器具,KitchenAid,炉灶,白色,,5304.04,2,0.0,954.52
A001239,2019-12-12,2019-12-17,邮政,U12850,胡凤,消费者,R00014,吉林,东北,楚杰,P01842,家具,桌子,Bevis,圆桌,长方形,,16246.44,9,0.25,2814.84
A000467,2020-10-03,2020-10-07,邮政,U15265,谭君,公司,R00010,河北,华北,殷莲,P01074,办公,信封,Cameo,马尼拉纸信封,红色,,570.08,4,0.0,50.96
A001240,2021-02-20,2021-02-23,中通,U12520,俞毅,消费者,R00006,陕西,西北,杨健,P00044,办公,纸张,Green Bar,备忘录便条,每包12个,,688.94,7,0.0,27.44
A001240,2021-02-20,2021-02-23,中通,U12520,俞毅,消费者,R00006,陕西,西北,杨健,P00477,办公,收纳,Tenex,搁板,工业,,1286.6,5,0.0,333.9
A001240,2021-02-20,2021-02-23,中通,U12520,俞毅,消费者,R00006,陕西,西北,杨健,P01450,办公,系固,Accos,图钉,混合尺寸,,363.58,7,0.0,94.08
A001212,2021-09-18,2021-09-21,圆通,U10465,孙壁,消费者,R00016,湖北,中南,范彩,P00022,技术,电话,思科,办公室电话机,全尺寸,,1144.5,5,0.4,-763.0
A001241,2019-05-09,2019-05-14,邮政,U12625,孙辉,小型企业,R00004,广东,中南,范彩,P00943,办公,器具,Hoover,烤面包机,银色,是,393.82,1,0.0,153.58
A001241,2019-05-09,2019-05-14,邮政,U12625,孙辉,小型企业,R00004,广东,中南,范彩,P01207,家具,桌子,Chromcraft,培训桌,组装,是,4993.8,5,0.25,-1332.1
A001242,2021-05-07,2021-05-12,圆通,U12175,林德伟,公司,R00020,重庆,西南,白德伟,P01002,家具,用具,Deflect-O,框架,优质,是,3042.48,6,0.0,1459.92
A001243,2019-11-05,2019-11-07,圆通,U17965,徐蔓楚,公司,R00012,安徽,华东,洪光,P01760,办公,美术,Binney & Smith,荧光笔,整包,,251.78,4,0.2,-25.42
A000017,2020-04-03,2020-04-08,邮政,U20440,秦淑芳,公司,R00003,江苏,华东,洪光,P01227,技术,设备,松下,喷墨打印机,红色,是,2597.62,3,0.4,-43.34
A001244,2019-02-22,2019-02-28,顺丰,U15295,徐君,消费者,R00022,广西,中南,范彩,P00424,家具,椅子,Harbour Creations,扶手椅,每套两件,,5995.84,3,0.1,599.26
A000830,2021-05-26,2021-05-26,顺丰,U16840,宋立,消费者,R00010,河北,华北,殷莲,P01811,办公,标签,Harbour Creations,有色标签,耐用,,186.06,3,0.0,53.76
A000830,2021-05-26,2021-05-26,顺丰,U16840,宋立,消费者,R00010,河北,华北,殷莲,P01752,技术,电话,摩托罗拉,音频基座,混合尺寸,,11513.04,14,0.0,3798.48
A000830,2021-05-26,2021-05-26,顺丰,U16840,宋立,消费者,R00010,河北,华北,殷莲,P01357,家具,书架,Safco,书架,金属,,4849.04,7,0.0,1793.4
A001245,2021-12-26,2021-12-30,邮政,U21745,黎雯,公司,R00002,四川,西南,白德伟,P01311,技术,配件,罗技,闪存驱动器,实惠,,170.86,2,0.4,-102.7
A001246,2021-07-20,2021-07-26,邮政,U10060,罗嫒,小型企业,R00014,吉林,东北,楚杰,P00021,技术,电话,摩托罗拉,办公室电话机,混合尺寸,,696.36,2,0.0,111.16
A001246,2021-07-20,2021-07-26,邮政,U10060,罗嫒,小型企业,R00014,吉林,东北,楚杰,P00837,办公,信封,Kraft,局间信封,红色,,706.44,3,0.0,77.7
A001104,2021-02-03,2021-02-06,中通,U19795,巩晒明,小型企业,R00012,安徽,华东,洪光,P00208,办公,信封,Cameo,搭扣信封,银色,,222.32,4,0.0,81.76
A001104,2021-02-03,2021-02-06,中通,U19795,巩晒明,小型企业,R00012,安徽,华东,洪光,P01546,办公,标签,Avery,文件夹标签,白色,,127.68,3,0.0,2.52
A001104,2021-02-03,2021-02-06,中通,U19795,巩晒明,小型企业,R00012,安徽,华东,洪光,P00132,办公,用品,Fiskars,尺子,锯齿状,,675.22,13,0.0,222.04
A001104,2021-02-03,2021-02-06,中通,U19795,巩晒明,小型企业,R00012,安徽,华东,洪光,P00540,家具,书架,宜家,古典书架,白色,,5799.78,3,0.0,1623.72
A001247,2018-08-18,2018-08-18,顺丰,U21010,孙斯云,消费者,R00018,湖南,中南,范彩,P00529,技术,复印,Brother,个人复印机,彩色,,1347.08,2,0.0,484.68
A001247,2018-08-18,2018-08-18,顺丰,U21010,孙斯云,消费者,R00018,湖南,中南,范彩,P00234,办公,装订,Cardinal,打孔机,实惠,,268.8,2,0.0,24.08
A001248,2020-04-09,2020-04-13,顺丰,U20845,楚宣,消费者,R00023,天津,华北,殷莲,P00008,办公,系固,Advantus,按钉,混合尺寸,,166.32,3,0.0,74.76
A001248,2020-04-09,2020-04-13,顺丰,U20845,楚宣,消费者,R00023,天津,华北,殷莲,P00520,技术,复印,夏普,个人复印机,红色,,4412.8,8,0.0,1544.48
A001249,2018-02-20,2018-02-24,圆通,U17875,涂珑,小型企业,R00024,云南,西南,白德伟,P01612,办公,系固,Advantus,橡皮筋,混合尺寸,是,524.16,8,0.0,4.48
A001249,2018-02-20,2018-02-24,圆通,U17875,涂珑,小型企业,R00024,云南,西南,白德伟,P00506,家具,书架,Sauder,搁架,黑色,是,6400.38,7,0.0,2815.54
A001249,2018-02-20,2018-02-24,圆通,U17875,涂珑,小型企业,R00024,云南,西南,白德伟,P00401,家具,用具,Rubvermaid,分层置放架,一包多件,是,117.6,1,0.0,5.88
A001249,2018-02-20,2018-02-24,圆通,U17875,涂珑,小型企业,R00024,云南,西南,白德伟,P00495,家具,书架,Dania,搁架,金属,是,1575.56,2,0.0,189.0
A001250,2020-01-01,2020-01-07,邮政,U13180,孟刚,公司,R00016,湖北,中南,范彩,P01843,家具,桌子,Chromcraft,圆桌,黑色,,1743.84,2,0.6,-1177.12
A001251,2021-08-08,2021-08-14,圆通,U17380,施丽丽,公司,R00004,广东,中南,范彩,P00429,家具,椅子,Hon,扶手椅,黑色,是,3819.56,2,0.1,551.68
A001251,2021-08-08,2021-08-14,圆通,U17380,施丽丽,公司,R00004,广东,中南,范彩,P01030,办公,器具,Hoover,炉灶,红色,是,5305.72,2,0.0,795.76
A000012,2021-01-03,2021-01-04,邮政,U17635,谢丽雪,公司,R00014,吉林,东北,楚杰,P01356,家具,书架,Bush,书架,金属,,2869.3,5,0.0,1290.8
A000752,2021-06-30,2021-07-02,邮政,U10600,贾彩,公司,R00004,广东,中南,范彩,P01587,家具,用具,Tenex,相框,优质,,1177.4,5,0.0,470.4
A001252,2020-04-06,2020-04-12,邮政,U18700,贺宁,消费者,R00008,山东,华东,洪光,P01783,办公,信封,Kraft,邮寄品,银色,,186.9,1,0.0,41.02
A001253,2020-02-08,2020-02-13,邮政,U21130,沈婷,消费者,R00016,湖北,中南,范彩,P01499,办公,器具,Hamilton Beach,微波炉,红色,,1582.06,2,0.4,-659.34
A001254,2018-03-19,2018-03-22,圆通,U17770,廖乐,消费者,R00003,江苏,华东,洪光,P01716,家具,椅子,Novimex,摇椅,每套两件,,2620.13,7,0.4,-786.35
A001255,2021-09-08,2021-09-12,邮政,U15820,黄丽,消费者,R00001,浙江,华东,洪光,P01602,家具,用具,Eldon,相框,黑色,是,325.42,2,0.4,-87.02
A001255,2021-09-08,2021-09-12,邮政,U15820,黄丽,消费者,R00001,浙江,华东,洪光,P00251,办公,用品,Elite,大剪刀,蓝色,是,658.14,5,0.4,-33.46
A001256,2021-06-13,2021-06-18,邮政,U16945,冯莲,公司,R00019,北京,华北,殷莲,P00820,办公,器具,Hamilton Beach,搅拌机,银色,,2345.14,7,0.0,679.14
A001136,2020-05-21,2020-05-26,圆通,U12580,洪辉,小型企业,R00010,河北,华北,殷莲,P01688,办公,纸张,Eaton,羊皮纸,优质,,125.72,2,0.0,60.2
A001136,2020-05-21,2020-05-26,圆通,U12580,洪辉,小型企业,R00010,河北,华北,殷莲,P00003,办公,系固,Stockwell,按钉,混合尺寸,,496.44,9,0.0,153.72
A001257,2018-03-11,2018-03-14,中通,U19285,林谦,消费者,R00008,山东,华东,洪光,P01424,办公,美术,Binney & Smith,速写本,混合尺寸,,1155.0,5,0.0,427.0
A001258,2018-05-04,2018-05-08,邮政,U14455,陶惠,小型企业,R00008,山东,华东,洪光,P00682,技术,设备,爱普生,计算器,耐用,,651.42,3,0.0,6.3
A001176,2020-03-22,2020-03-27,邮政,U10060,罗嫒,小型企业,R00007,黑龙江,东北,楚杰,P01377,家具,书架,Dania,书库,传统,,5073.6,3,0.0,1522.08
A001259,2020-02-07,2020-02-09,中通,U18610,丁妮,公司,R00004,广东,中南,范彩,P01049,技术,配件,贝尔金,路由器,可编程,,6072.5,5,0.0,2246.3
A000198,2021-02-28,2021-03-06,邮政,U13945,何芯,消费者,R00004,广东,中南,范彩,P00595,办公,收纳,Tenex,盒,单宽度,,231.42,3,0.0,108.36
A001140,2021-09-10,2021-09-17,邮政,U15640,吕关茵,小型企业,R00016,湖北,中南,范彩,P01786,办公,信封,Kraft,邮寄品,红色,是,192.22,1,0.0,69.16
A001140,2021-09-10,2021-09-17,邮政,U15640,吕关茵,小型企业,R00016,湖北,中南,范彩,P01480,办公,信封,Kraft,外皮和封条,每套50个,是,573.72,6,0.0,0.0
A000688,2019-01-18,2019-01-23,圆通,U18655,钱宁,公司,R00023,天津,华北,殷莲,P01187,办公,收纳,Eldon,盘,金属,,878.08,4,0.0,394.8
A000688,2019-01-18,2019-01-23,圆通,U18655,钱宁,公司,R00023,天津,华北,殷莲,P01448,办公,收纳,Eldon,锁柜,单宽度,,5542.32,6,0.0,2604.84
A000688,2019-01-18,2019-01-23,圆通,U18655,钱宁,公司,R00023,天津,华北,殷莲,P00478,办公,收纳,Fellowes,搁板,蓝色,,269.92,1,0.0,72.8
A001260,2020-07-02,2020-07-06,圆通,U20080,邱升,消费者,R00015,辽宁,东北,楚杰,P01299,技术,配件,Memorex,闪存驱动器,实惠,,411.6,5,0.4,-158.2
A001261,2020-11-12,2020-11-16,邮政,U13330,万莞颖,消费者,R00017,河南,中南,范彩,P01897,技术,电话,三星,智能手机,蓝色,,3450.72,6,0.0,1241.52
A001261,2020-11-12,2020-11-16,邮政,U13330,万莞颖,消费者,R00017,河南,中南,范彩,P01392,技术,配件,Enermax,鼠标,回收,,889.0,5,0.0,17.5
A001261,2020-11-12,2020-11-16,邮政,U13330,万莞颖,消费者,R00017,河南,中南,范彩,P01245,办公,美术,BIC,铅笔刀,蓝色,,541.52,5,0.2,101.22
A001261,2020-11-12,2020-11-16,邮政,U13330,万莞颖,消费者,R00017,河南,中南,范彩,P00216,办公,装订,Ibico,打孔机,透明,,418.74,3,0.0,141.96
A001262,2021-06-01,2021-06-04,邮政,U11860,黄岱,消费者,R00015,辽宁,东北,楚杰,P01891,家具,椅子,Hon,折叠椅,每套两件,,702.83,3,0.4,-117.43
A001263,2019-07-02,2019-07-07,圆通,U20155,毛升,小型企业,R00005,江西,华东,洪光,P00918,办公,用品,Stiletto,开信刀,钢,,777.84,6,0.0,38.64
A001263,2019-07-02,2019-07-07,圆通,U20155,毛升,小型企业,R00005,江西,华东,洪光,P01062,技术,配件,SanDisk,路由器,可编程,,1203.3,1,0.0,336.84
A001264,2021-07-27,2021-08-01,邮政,U13810,贺虹,公司,R00012,安徽,华东,洪光,P01928,办公,装订,Cardinal,装订机,透明,,372.12,6,0.0,185.64
A001265,2020-07-31,2020-08-06,邮政,U16915,韦立,消费者,R00011,福建,华东,洪光,P01433,办公,收纳,Tenex,锁柜,金属,,3793.44,4,0.0,1896.72
A000119,2020-03-04,2020-03-06,邮政,U17230,韩廉,消费者,R00002,四川,西南,白德伟,P00005,办公,系固,Stockwell,按钉,每包12个,,193.2,5,0.4,25.2
A001266,2021-11-30,2021-12-03,圆通,U15310,韦君,公司,R00011,福建,华东,洪光,P00845,办公,信封,Jiffy,局间信封,红色,,699.72,3,0.0,41.58
A001267,2020-02-18,2020-02-24,邮政,U19480,佘巧,消费者,R00026,贵州,西南,白德伟,P00193,技术,复印,夏普,传真机,每套两件,,3311.28,3,0.2,-372.54
A000537,2020-01-09,2020-01-11,中通,U14035,赖虎,公司,R00008,山东,华东,洪光,P00577,办公,标签,Smead,合法证物标签,白色,,103.6,2,0.0,6.16
A000537,2020-01-09,2020-01-11,中通,U14035,赖虎,公司,R00008,山东,华东,洪光,P00563,家具,书架,宜家,柜,黑色,,1342.04,2,0.0,617.12
A000537,2020-01-09,2020-01-11,中通,U14035,赖虎,公司,R00008,山东,华东,洪光,P00321,技术,设备,冲电器,电话,耐用,,2841.02,7,0.0,141.12
A000537,2020-01-09,2020-01-11,中通,U14035,赖虎,公司,R00008,山东,华东,洪光,P00002,办公,系固,Stockwell,按钉,金属,,67.62,1,0.0,32.34
A001268,2021-10-05,2021-10-09,邮政,U12130,袁德,消费者,R00023,天津,华北,殷莲,P00572,办公,标签,Novimex,合法证物标签,可调,,78.12,2,0.0,16.24
A001268,2021-10-05,2021-10-09,邮政,U12130,袁德,消费者,R00023,天津,华北,殷莲,P00779,技术,配件,罗技,键盘,回收,,655.76,2,0.0,163.8
A001268,2021-10-05,2021-10-09,邮政,U12130,袁德,消费者,R00023,天津,华北,殷莲,P00614,办公,美术,Binney & Smith,画布,整包,,1204.7,5,0.0,240.8
A001269,2021-05-04,2021-05-10,邮政,U18520,柯娜,消费者,R00016,湖北,中南,范彩,P01920,办公,装订,Ibico,装订机,实惠,,216.72,5,0.4,-40.18
A001269,2021-05-04,2021-05-10,邮政,U18520,柯娜,消费者,R00016,湖北,中南,范彩,P00251,办公,用品,Elite,大剪刀,蓝色,,263.26,2,0.4,-13.38
A000010,2021-05-02,2021-05-08,邮政,U15565,殷崆,消费者,R00025,海南,中南,范彩,P01467,办公,信封,GlobeWeis,外皮和封条,银色,是,888.16,8,0.0,443.52
A000010,2021-05-02,2021-05-08,邮政,U15565,殷崆,消费者,R00025,海南,中南,范彩,P00535,家具,书架,Bush,古典书架,金属,是,11539.92,6,0.0,461.16
A000010,2021-05-02,2021-05-08,邮政,U15565,殷崆,消费者,R00025,海南,中南,范彩,P01771,办公,美术,Binney & Smith,荧光笔,金属,是,333.2,4,0.0,6.16
A000010,2021-05-02,2021-05-08,邮政,U15565,殷崆,消费者,R00025,海南,中南,范彩,P01508,办公,收纳,Rogers,文件车,金属,是,1969.38,3,0.0,255.78
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P00580,办公,标签,Hon,合法证物标签,可调,,163.52,4,0.0,48.72
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P01357,家具,书架,Safco,书架,金属,,4156.32,6,0.0,1537.2
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P01391,技术,配件,贝尔金,鼠标,可编程,,196.98,1,0.0,15.68
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P00141,技术,电话,摩托罗拉,充电器,混合尺寸,,27112.68,9,0.0,3253.32
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P00321,技术,设备,冲电器,电话,耐用,,1623.44,4,0.0,80.64
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P01599,家具,用具,Rubvermaid,相框,一包多件,,967.12,4,0.0,260.96
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P01822,办公,标签,Avery,圆形标签,白色,,133.28,4,0.0,36.96
A001270,2018-08-20,2018-08-22,圆通,U19900,谭珊,消费者,R00009,上海,华东,洪光,P00026,技术,电话,思科,办公室电话机,混合尺寸,,388.78,1,0.0,15.54
A001271,2020-02-07,2020-02-10,顺丰,U14005,韩虎,小型企业,R00017,河南,中南,范彩,P01091,办公,用品,Fiskars,美工刀,锯齿状,是,601.44,4,0.0,234.08
A001002,2019-09-11,2019-09-13,顺丰,U11695,白聪,公司,R00019,北京,华北,殷莲,P00495,家具,书架,Dania,搁架,金属,,2363.34,3,0.0,283.5
A001002,2019-09-11,2019-09-13,顺丰,U11695,白聪,公司,R00019,北京,华北,殷莲,P00540,家具,书架,宜家,古典书架,白色,,3866.52,2,0.0,1082.48
A001272,2018-02-24,2018-03-02,中通,U20065,赵升,消费者,R00018,湖南,中南,范彩,P01246,办公,美术,Stanley,铅笔刀,混合尺寸,,104.38,1,0.2,-11.82
A001273,2018-07-04,2018-07-06,圆通,U14320,夏惠英,消费者,R00007,黑龙江,东北,楚杰,P00490,办公,收纳,Tenex,搁板,金属,,2256.66,9,0.0,902.16
A001274,2021-04-30,2021-05-04,邮政,U13510,麦虢,公司,R00018,湖南,中南,范彩,P00376,技术,电话,思科,耳机,混合尺寸,,1704.08,4,0.0,238.56
A001274,2021-04-30,2021-05-04,邮政,U13510,麦虢,公司,R00018,湖南,中南,范彩,P01380,家具,书架,Dania,书库,白色,,3405.92,2,0.0,1123.92
A001274,2021-04-30,2021-05-04,邮政,U13510,麦虢,公司,R00018,湖南,中南,范彩,P00908,办公,用品,Acme,开信刀,蓝色,,281.96,2,0.0,47.88
A001274,2021-04-30,2021-05-04,邮政,U13510,麦虢,公司,R00018,湖南,中南,范彩,P01616,办公,系固,OIC,橡皮筋,每包12个,,154.0,2,0.0,56.84
A001274,2021-04-30,2021-05-04,邮政,U13510,麦虢,公司,R00018,湖南,中南,范彩,P01618,办公,系固,OIC,橡皮筋,整包,,79.66,1,0.0,13.44
A001275,2021-01-30,2021-02-02,圆通,U14215,葛欢,公司,R00015,辽宁,东北,楚杰,P01750,技术,电话,思科,音频基座,混合尺寸,是,1035.55,2,0.4,-535.25
A001275,2021-01-30,2021-02-02,圆通,U14215,葛欢,公司,R00015,辽宁,东北,楚杰,P01830,办公,标签,Harbour Creations,圆形标签,耐用,是,99.96,3,0.0,2.94
A000614,2018-05-27,2018-05-31,邮政,U12430,苏冬露,小型企业,R00016,湖北,中南,范彩,P00209,办公,信封,Jiffy,搭扣信封,银色,是,152.88,3,0.0,24.36
A000614,2018-05-27,2018-05-31,邮政,U12430,苏冬露,小型企业,R00016,湖北,中南,范彩,P00492,办公,收纳,Fellowes,搁板,工业,是,544.32,2,0.0,250.32
A000799,2021-06-24,2021-06-26,顺丰,U15355,黄康,消费者,R00004,广东,中南,范彩,P00983,办公,装订,Ibico,孔加固材料,实惠,,97.86,3,0.0,0.84
A000799,2021-06-24,2021-06-26,顺丰,U15355,黄康,消费者,R00004,广东,中南,范彩,P00366,办公,装订,Acco,订书机,回收,,720.3,3,0.0,165.48
A000799,2021-06-24,2021-06-26,顺丰,U15355,黄康,消费者,R00004,广东,中南,范彩,P01289,家具,椅子,Harbour Creations,沙滩椅,可调,,807.79,3,0.1,71.53
A001276,2018-01-09,2018-01-13,圆通,U17875,涂珑,小型企业,R00017,河南,中南,范彩,P00692,技术,设备,松下,计算器,白色,,1590.54,7,0.0,15.68
A001276,2018-01-09,2018-01-13,圆通,U17875,涂珑,小型企业,R00017,河南,中南,范彩,P00126,办公,用品,Stiletto,尺子,蓝色,,69.44,1,0.0,24.92
A001277,2020-09-30,2020-10-04,邮政,U21850,候武,消费者,R00008,山东,华东,洪光,P01921,办公,装订,Acco,装订机,实惠,是,212.1,3,0.0,39.9
A001278,2020-06-10,2020-06-11,中通,U13525,麦虢,公司,R00003,江苏,华东,洪光,P00477,办公,收纳,Tenex,搁板,工业,,1286.6,5,0.0,333.9
A000631,2020-02-07,2020-02-11,邮政,U12310,宋栋,公司,R00002,四川,西南,白德伟,P01947,办公,装订,Cardinal,装订机盖,实惠,,134.4,4,0.4,8.96
A000631,2020-02-07,2020-02-11,邮政,U12310,宋栋,公司,R00002,四川,西南,白德伟,P00566,家具,书架,Safco,柜,金属,,3298.68,7,0.4,-934.92
A000182,2020-05-17,2020-05-20,中通,U18910,贾柏,小型企业,R00028,内蒙古,华北,殷莲,P00240,技术,设备,爱普生,打印机,白色,,2192.65,3,0.4,-1352.15
A000182,2020-05-17,2020-05-20,中通,U18910,贾柏,小型企业,R00028,内蒙古,华北,殷莲,P01650,办公,纸张,Eaton,信纸,多色,,869.68,4,0.0,95.2
A001047,2021-05-08,2021-05-12,邮政,U19660,谭琼,小型企业,R00016,湖北,中南,范彩,P00476,办公,收纳,Rogers,搁板,工业,,876.54,3,0.0,17.22
A001279,2020-01-07,2020-01-14,中通,U15070,徐菊,消费者,R00011,福建,华东,洪光,P00131,办公,用品,Acme,尺子,锯齿状,,187.74,3,0.0,70.98
A001279,2020-01-07,2020-01-14,中通,U15070,徐菊,消费者,R00011,福建,华东,洪光,P00343,办公,系固,Advantus,订书钉,金属,,51.24,1,0.0,14.84
A001279,2020-01-07,2020-01-14,中通,U15070,徐菊,消费者,R00011,福建,华东,洪光,P00184,技术,复印,惠普,传真机,红色,,13913.2,10,0.0,5425.0
A001280,2020-05-30,2020-06-04,邮政,U21310,武廷,消费者,R00029,宁夏,西北,杨健,P01908,技术,电话,思科,智能手机,整包,,3233.3,5,0.0,646.1
A001280,2020-05-30,2020-06-04,邮政,U21310,武廷,消费者,R00029,宁夏,西北,杨健,P00654,家具,桌子,Chromcraft,会议桌,黑色,,4886.95,2,0.4,-2117.81
A000955,2019-05-19,2019-05-22,邮政,U14155,吕欢悦,消费者,R00015,辽宁,东北,楚杰,P00437,技术,复印,Hewlett,复印机,红色,,733.24,1,0.4,-48.94
A000955,2019-05-19,2019-05-22,邮政,U14155,吕欢悦,消费者,R00015,辽宁,东北,楚杰,P01365,家具,书架,Dania,书架,黑色,,1376.93,4,0.4,-505.23
A000955,2019-05-19,2019-05-22,邮政,U14155,吕欢悦,消费者,R00015,辽宁,东北,楚杰,P01776,办公,美术,BIC,荧光笔,蓝色,,53.0,3,0.8,-162.04
A001281,2021-12-23,2021-12-23,顺丰,U17920,秦蔓楚,消费者,R00006,陕西,西北,杨健,P01473,办公,信封,Kraft,外皮和封条,回收,,270.06,3,0.0,75.6
A001281,2021-12-23,2021-12-23,顺丰,U17920,秦蔓楚,消费者,R00006,陕西,西北,杨健,P00285,家具,用具,Advantus,灯泡,黑色,,280.98,3,0.0,84.0
A001281,2021-12-23,2021-12-23,顺丰,U17920,秦蔓楚,消费者,R00006,陕西,西北,杨健,P01616,办公,系固,OIC,橡皮筋,每包12个,,231.0,3,0.0,85.26
A000169,2020-01-15,2020-01-20,邮政,U20260,邹实,公司,R00022,广西,中南,范彩,P00379,技术,电话,摩托罗拉,耳机,全尺寸,,378.14,1,0.0,90.72
A001282,2018-11-04,2018-11-08,邮政,U21115,龙婷,公司,R00007,黑龙江,东北,楚杰,P01041,办公,器具,Breville,炉灶,银色,是,5248.04,2,0.0,892.08
A000257,2018-11-17,2018-11-19,中通,U17440,任临耀,公司,R00001,浙江,华东,洪光,P00631,办公,系固,Stockwell,回形针,混合尺寸,,95.26,3,0.4,1.18
A000257,2018-11-17,2018-11-19,中通,U17440,任临耀,公司,R00001,浙江,华东,洪光,P00441,技术,复印,夏普,复印机,数字化,,7362.43,11,0.4,-4172.17
A001283,2021-05-13,2021-05-18,邮政,U18085,倪幂,消费者,R00007,黑龙江,东北,楚杰,P00607,办公,收纳,Fellowes,盒,工业,,188.16,2,0.0,45.08
A001284,2021-03-05,2021-03-10,邮政,U16720,钟立,消费者,R00016,湖北,中南,范彩,P01725,家具,椅子,Hon,椅垫,黑色,,297.36,2,0.4,-119.0
A001284,2021-03-05,2021-03-10,邮政,U16720,钟立,消费者,R00016,湖北,中南,范彩,P01578,技术,复印,惠普,无线传真机,红色,,5017.74,5,0.4,-585.76
A001284,2021-03-05,2021-03-10,邮政,U16720,钟立,消费者,R00016,湖北,中南,范彩,P00004,办公,系固,Advantus,按钉,金属,,40.74,1,0.4,-6.16
A001284,2021-03-05,2021-03-10,邮政,U16720,钟立,消费者,R00016,湖北,中南,范彩,P01593,家具,用具,Tenex,相框,耐用,,136.84,1,0.4,-63.92
A001285,2020-05-01,2020-05-08,邮政,U21610,邹伟,消费者,R00023,天津,华北,殷莲,P00365,办公,装订,Wilson Jones,订书机,实惠,,228.48,1,0.0,98.14
A001285,2020-05-01,2020-05-08,邮政,U21610,邹伟,消费者,R00023,天津,华北,殷莲,P01296,技术,配件,罗技,闪存驱动器,可编程,,298.76,2,0.0,59.64
A001202,2020-08-22,2020-08-28,邮政,U17500,陈霖,消费者,R00011,福建,华东,洪光,P01695,办公,纸张,Green Bar,羊皮纸,回收,,309.68,4,0.0,145.04
A001286,2018-02-20,2018-02-26,邮政,U11215,杨晨,小型企业,R00003,江苏,华东,洪光,P00619,办公,美术,Sanford,画布,蓝色,,141.46,3,0.8,-502.4
A001286,2018-02-20,2018-02-26,邮政,U11215,杨晨,小型企业,R00003,江苏,华东,洪光,P00298,家具,椅子,Hon,凳子,每套两件,,1393.56,3,0.4,-325.5
A001286,2018-02-20,2018-02-26,邮政,U11215,杨晨,小型企业,R00003,江苏,华东,洪光,P01008,办公,纸张,Green Bar,令,每包12个,,316.4,2,0.0,18.76
A000269,2021-04-11,2021-04-16,中通,U20440,秦淑芳,公司,R00024,云南,西南,白德伟,P00420,家具,椅子,SAFCO,扶手椅,每套两件,是,19474.56,9,0.0,9152.64
A000269,2021-04-11,2021-04-16,中通,U20440,秦淑芳,公司,R00024,云南,西南,白德伟,P01430,办公,收纳,Smead,锁柜,单宽度,是,4630.5,5,0.0,370.3
A000269,2021-04-11,2021-04-16,中通,U20440,秦淑芳,公司,R00024,云南,西南,白德伟,P00679,办公,纸张,Enermax,计划信息表,每包12个,是,124.32,1,0.0,33.46
A000269,2021-04-11,2021-04-16,中通,U20440,秦淑芳,公司,R00024,云南,西南,白德伟,P01073,办公,信封,Cameo,马尼拉纸信封,每套50个,是,378.0,3,0.0,151.2
A000269,2021-04-11,2021-04-16,中通,U20440,秦淑芳,公司,R00024,云南,西南,白德伟,P01835,办公,标签,Harbour Creations,圆形标签,红色,是,61.32,2,0.0,24.92
A000920,2020-04-24,2020-04-29,邮政,U14665,薛娇,消费者,R00023,天津,华北,殷莲,P01512,办公,收纳,Rogers,文件车,蓝色,,1321.6,2,0.0,13.16
A000920,2020-04-24,2020-04-29,邮政,U14665,薛娇,消费者,R00023,天津,华北,殷莲,P00784,技术,配件,Enermax,键盘,可编程,,1982.4,5,0.0,257.6
A000787,2021-02-28,2021-03-02,邮政,U20335,邢盛,消费者,R00023,天津,华北,殷莲,P00409,家具,用具,Tenex,分层置放架,耐用,,415.52,4,0.0,74.48
A001287,2020-06-13,2020-06-14,中通,U20830,蒋宣,消费者,R00008,山东,华东,洪光,P00210,办公,信封,GlobeWeis,搭扣信封,每套50个,,138.6,3,0.0,41.58
A001287,2020-06-13,2020-06-14,中通,U20830,蒋宣,消费者,R00008,山东,华东,洪光,P00147,技术,电话,苹果,充电器,蓝色,,5937.96,2,0.0,1246.84
A001287,2020-06-13,2020-06-14,中通,U20830,蒋宣,消费者,R00008,山东,华东,洪光,P00233,办公,装订,Avery,打孔机,回收,,395.22,3,0.0,19.74
